"ensembl_peptide_id_version"	"external_gene_name"
"261"	"ENSXETP00000049145.3"	""
"262"	"ENSXETP00000024992.2"	"mia2"
"263"	"ENSXETP00000049138.3"	""
"264"	"ENSXETP00000011452.3"	"tmem39b"
"265"	"ENSXETP00000032783.3"	"XB-GENE-973579"
"266"	"ENSXETP00000038551.3"	"cfap44"
"267"	"ENSXETP00000011288.3"	"cfap44"
"268"	"ENSXETP00000049136.3"	"dzip1l"
"269"	"ENSXETP00000062228.1"	"dzip1l"
"270"	"ENSXETP00000041182.1"	"tph1"
"271"	"ENSXETP00000019176.2"	"admp"
"272"	"ENSXETP00000058613.1"	"rab21"
"273"	"ENSXETP00000025337.2"	"rab21"
"274"	"ENSXETP00000039244.3"	"idi1"
"275"	"ENSXETP00000027866.3"	"rrbp1"
"276"	"ENSXETP00000001733.1"	"rrbp1"
"277"	"ENSXETP00000034305.2"	""
"278"	"ENSXETP00000034315.2"	"anp32e"
"279"	"ENSXETP00000059611.1"	"anp32e"
"280"	"ENSXETP00000000855.3"	"pdzrn3"
"281"	"ENSXETP00000051792.2"	"tbc1d20.1"
"282"	"ENSXETP00000063783.1"	"tbc1d20.1"
"283"	"ENSXETP00000061171.1"	""
"284"	"ENSXETP00000059851.1"	""
"285"	"ENSXETP00000014257.3"	""
"286"	"ENSXETP00000061664.1"	""
"287"	"ENSXETP00000012071.3"	"cntn5"
"288"	"ENSXETP00000039266.3"	"gtpbp4"
"289"	"ENSXETP00000060200.1"	"gtpbp4"
"290"	"ENSXETP00000030553.2"	"chrng"
"291"	"ENSXETP00000011457.3"	"khdrbs1"
"292"	"ENSXETP00000054359.2"	"pnhd"
"293"	"ENSXETP00000060140.1"	"cox19"
"294"	"ENSXETP00000002749.2"	"mgam"
"295"	"ENSXETP00000032520.2"	"ostm1"
"296"	"ENSXETP00000031184.3"	""
"297"	"ENSXETP00000055052.1"	"XB-GENE-5919443"
"298"	"ENSXETP00000046752.2"	"XB-GENE-5947997"
"299"	"ENSXETP00000059738.1"	""
"300"	"ENSXETP00000049110.1"	"cldn18"
"301"	"ENSXETP00000000866.2"	""
"302"	"ENSXETP00000058957.1"	""
"303"	"ENSXETP00000051791.2"	""
"304"	"ENSXETP00000032507.3"	"nr2e1"
"305"	"ENSXETP00000059595.1"	"tmem19"
"306"	"ENSXETP00000025338.2"	"tmem19"
"307"	"ENSXETP00000031188.2"	"gh1"
"308"	"ENSXETP00000038781.2"	""
"309"	"ENSXETP00000061506.1"	""
"310"	"ENSXETP00000024999.3"	"fbxo33"
"311"	"ENSXETP00000000870.3"	""
"312"	"ENSXETP00000020674.2"	"ift74"
"313"	"ENSXETP00000061414.1"	"ift74"
"314"	"ENSXETP00000034324.3"	"plekho1"
"315"	"ENSXETP00000063913.1"	"sult1b1"
"316"	"ENSXETP00000003463.2"	"fkbp4"
"317"	"ENSXETP00000031193.3"	"arf1"
"318"	"ENSXETP00000053525.2"	"nck1"
"319"	"ENSXETP00000019168.2"	"rab8a"
"320"	"ENSXETP00000034353.3"	"vps45"
"321"	"ENSXETP00000061317.1"	"ZFC3H1"
"322"	"ENSXETP00000062568.1"	"ZFC3H1"
"323"	"ENSXETP00000027083.3"	"snx3"
"324"	"ENSXETP00000019156.3"	"tpm4"
"325"	"ENSXETP00000019155.1"	"tpm4"
"326"	"ENSXETP00000030770.2"	"tet2"
"327"	"ENSXETP00000003444.3"	""
"328"	"ENSXETP00000034378.3"	"otud7b"
"329"	"ENSXETP00000056607.2"	"otud7b"
"330"	"ENSXETP00000062115.1"	"saal1"
"331"	"ENSXETP00000041185.2"	"saal1"
"332"	"ENSXETP00000016272.2"	""
"333"	"ENSXETP00000011458.3"	"eif3i"
"334"	"ENSXETP00000030556.3"	"chrnd"
"335"	"ENSXETP00000062323.1"	"AMN1"
"336"	"ENSXETP00000001610.2"	""
"337"	"ENSXETP00000032121.3"	"kiz"
"338"	"ENSXETP00000051880.3"	"ccdc51"
